customer_id,tenure_months,monthly_charges,total_charges,support_tickets,contract,churn
C0000,15,22.5,307.13,3,month,0
C0001,70,28.69,1945.58,0,month,0
C0002,65,80.2,5340.71,8,year,1
C0003,36,100.94,2916.52,2,two_year,0
C0004,36,35.55,1513.86,5,month,1
C0005,13,55.9,681.34,4,month,0
C0006,69,32.48,2619.69,1,two_year,0
C0007,47,77.74,3952.76,0,two_year,0
C0008,38,118.52,5143.87,1,year,0
C0009,47,36.27,1606.0,4,two_year,0
C0010,10,80.91,702.67,3,month,1
C0011,35,118.95,4396.39,8,month,1
C0012,8,42.9,278.97,5,year,1
C0013,28,111.31,3200.43,5,month,0
C0014,51,108.47,5848.07,2,year,0
C0015,72,73.9,5846.52,6,two_year,0
C0016,29,119.73,2969.86,7,month,1
C0017,15,35.28,457.22,6,two_year,1
C0018,49,79.59,3850.07,4,two_year,0
C0019,2,88.03,148.92,8,year,1
C0020,44,31.16,1335.26,7,month,0
C0021,34,117.19,4401.97,8,month,0
C0022,39,104.17,4075.08,3,month,0
C0023,21,73.94,1725.79,8,month,1
C0024,63,21.95,1620.2,4,month,1
C0025,11,28.57,312.51,1,two_year,0
C0026,17,85.98,1722.92,2,year,0
C0027,55,116.44,7502.94,3,two_year,0
C0028,48,63.81,3084.41,1,month,0
C0029,44,22.1,993.37,3,month,1
C0030,8,42.89,398.76,5,month,1
C0031,36,86.9,2770.81,2,two_year,0
C0032,61,44.3,2673.09,6,month,1
C0033,56,55.43,2993.7,0,two_year,0
C0034,13,26.06,369.71,1,month,1
C0035,69,64.86,4335.5,4,year,0
C0036,10,64.31,736.05,8,month,1
C0037,70,103.6,8612.46,3,month,0
C0038,62,41.37,2463.41,0,month,0
C0039,50,46.52,2590.3,7,year,0
C0040,72,86.19,6172.59,3,year,0
C0041,8,77.92,633.88,5,month,1
C0042,62,70.29,4972.84,2,month,0
C0043,11,105.13,956.84,1,two_year,0
C0044,52,31.99,1923.17,3,two_year,0
C0045,11,61.92,703.92,8,year,0
C0046,27,86.97,2173.66,4,year,1
C0047,39,65.72,3002.92,1,month,0
C0048,13,27.33,314.52,4,month,0
C0049,9,107.93,920.68,2,year,0
C0050,39,81.17,3782.59,8,month,1
C0051,71,49.94,3777.47,2,year,0
C0052,14,94.24,1137.52,4,two_year,1
C0053,44,40.36,1871.19,4,two_year,0
C0054,7,29.23,198.36,4,month,1
C0055,17,83.71,1287.57,7,two_year,0
C0056,72,20.97,1253.31,2,two_year,0
C0057,48,78.25,3227.3,2,month,0
C0058,6,109.89,582.88,3,two_year,1
C0059,72,108.41,7513.21,2,month,0
C0060,23,108.14,2014.44,5,year,0
C0061,32,46.68,1665.47,1,year,0
C0062,61,42.24,2902.93,7,year,0
C0063,30,42.29,1349.91,6,year,1
C0064,9,116.69,957.42,8,year,1
C0065,69,53.11,2972.13,4,month,0
C0066,34,23.83,841.52,5,two_year,0
C0067,56,80.62,4535.35,6,two_year,0
C0068,6,90.88,436.59,8,two_year,1
C0069,26,56.42,1214.59,5,two_year,0
C0070,16,91.98,1354.14,4,two_year,0
C0071,52,89.72,4766.98,3,year,0
C0072,49,87.73,4991.4,4,year,0
C0073,1,50.39,44.55,5,year,1
C0074,28,71.12,2225.33,2,two_year,1
C0075,66,86.39,5973.74,1,month,0
C0076,29,100.66,2507.37,0,month,0
C0077,10,65.54,756.63,3,two_year,0
C0078,64,59.97,3297.02,0,month,0
C0079,29,37.59,1289.8,8,year,1
C0080,32,111.75,3034.39,2,year,0
C0081,72,79.55,6758.66,7,two_year,0
C0082,65,62.67,4736.49,7,month,0
C0083,61,65.01,4364.99,4,two_year,0
C0084,31,47.46,1222.61,4,month,1
C0085,41,109.3,3729.48,2,month,0
C0086,20,90.64,1496.81,6,year,0
C0087,54,26.23,1605.03,6,two_year,0
C0088,3,105.67,350.69,6,year,1
C0089,46,49.86,2192.63,6,two_year,0
C0090,70,99.99,8113.06,7,month,1
C0091,63,22.9,1348.13,6,two_year,0
C0092,60,111.95,8008.6,8,month,0
C0093,4,28.39,110.32,7,month,1
C0094,49,52.74,2537.43,5,year,0
C0095,54,45.23,2033.96,0,two_year,0
C0096,45,42.42,1579.51,0,month,0
C0097,26,103.92,2833.06,3,month,0
C0098,15,76.4,1016.71,4,year,1
C0099,15,97.78,1269.44,4,month,1
C0100,40,77.58,3609.67,6,year,0
C0101,26,27.6,772.31,3,month,0
C0102,39,105.03,4260.69,1,two_year,0
C0103,45,73.27,3510.17,1,two_year,0
C0104,2,104.96,236.99,1,year,0
C0105,59,90.73,5214.93,8,two_year,1
C0106,69,97.46,6630.25,4,year,0
C0107,12,47.89,563.37,7,two_year,0
C0108,49,53.64,2622.37,5,month,0
C0109,46,99.78,4296.75,4,two_year,1
C0110,25,28.56,776.85,7,two_year,0
C0111,61,84.59,5141.05,0,month,0
C0112,52,89.18,4277.88,5,year,0
C0113,45,62.55,3091.65,5,year,0
C0114,35,50.66,1581.99,3,year,1
C0115,69,115.09,8545.26,3,month,0
C0116,36,92.46,3963.13,8,two_year,1
C0117,13,103.26,1232.97,5,month,1
C0118,69,32.66,1843.86,0,two_year,0
C0119,17,83.79,1568.46,1,month,0
C0120,61,67.87,3876.27,0,year,0
C0121,62,31.41,1608.84,7,month,0
C0122,7,35.17,276.83,4,month,0
C0123,16,75.81,1172.29,3,two_year,0
C0124,57,49.74,2935.57,6,year,0
C0125,8,80.96,709.88,3,two_year,1
C0126,11,35.71,341.56,1,month,1
C0127,58,88.94,5096.44,0,month,0
C0128,37,90.3,3279.67,3,year,0
C0129,26,62.51,1654.23,2,year,0
C0130,10,25.96,289.99,4,year,1
C0131,39,89.97,4130.14,8,two_year,0
C0132,11,79.8,1014.53,5,two_year,1
C0133,12,42.89,550.56,0,two_year,0
C0134,6,96.31,502.78,8,two_year,1
C0135,36,38.15,1420.28,7,month,1
C0136,53,53.33,3018.84,2,year,0
C0137,64,48.82,3680.88,8,month,0
C0138,41,45.24,1569.88,6,two_year,0
C0139,1,85.77,87.23,6,month,1
C0140,47,82.26,3863.89,7,month,1
C0141,71,33.1,2150.84,7,month,1
C0142,31,90.98,2606.88,0,two_year,0
C0143,29,119.23,4028.78,7,month,1
C0144,20,69.84,1517.82,8,two_year,1
C0145,62,118.02,6567.17,8,month,1
C0146,66,94.63,5337.49,1,year,0
C0147,54,53.99,3250.99,4,month,0
C0148,39,103.75,4175.61,7,month,1
C0149,62,54.51,3449.8,8,year,0
C0150,42,106.96,5356.24,3,two_year,0
C0151,53,24.36,1417.45,6,year,0
C0152,20,69.53,1133.07,8,two_year,1
C0153,13,107.42,1363.12,8,year,1
C0154,19,61.0,1230.76,2,month,0
C0155,34,53.86,1972.4,1,year,0
C0156,69,58.0,3708.51,7,two_year,1
C0157,9,43.48,420.18,4,month,0
C0158,56,117.83,7285.7,1,year,0
C0159,39,110.34,3521.77,0,year,0
C0160,56,34.56,1959.49,2,month,0
C0161,49,81.97,3600.14,2,month,0
C0162,33,65.96,2321.94,7,year,0
C0163,21,27.39,677.63,4,two_year,0
C0164,33,65.68,1995.88,6,year,1
C0165,49,77.19,3895.49,4,month,0
C0166,51,47.45,2483.77,0,two_year,0
C0167,37,97.57,3220.37,5,month,0
C0168,33,87.78,3152.73,2,two_year,1
C0169,6,50.89,298.11,5,two_year,1
C0170,38,52.67,1933.81,3,month,0
C0171,47,73.09,4003.4,2,year,0
C0172,62,116.74,6644.78,5,month,0
C0173,10,34.08,404.39,6,two_year,1
C0174,51,21.39,1106.85,7,year,0
C0175,34,78.46,3011.68,5,month,0
C0176,61,22.5,1583.44,8,year,0
C0177,29,84.77,2591.48,7,two_year,1
C0178,53,31.67,1373.25,0,year,0
C0179,15,29.72,514.86,2,year,0
C0180,70,61.91,4753.67,2,year,0
C0181,63,81.57,6041.41,4,month,0
C0182,28,64.34,2126.19,5,month,0
C0183,48,74.45,4256.65,5,month,0
C0184,25,116.82,3445.03,7,month,1
C0185,3,25.06,70.17,2,two_year,1
C0186,71,40.72,2562.63,3,year,0
C0187,1,47.73,56.97,2,two_year,1
C0188,23,30.99,817.25,2,month,0
C0189,31,78.89,1971.91,4,month,1
C0190,54,72.61,4306.24,7,year,0
C0191,66,79.37,5137.85,3,two_year,1
C0192,67,50.16,3553.41,0,month,0
C0193,52,62.63,2746.05,7,month,0
C0194,42,80.83,2805.08,4,two_year,0
C0195,71,91.22,6168.09,8,year,0
C0196,56,29.92,1810.75,8,two_year,0
C0197,56,65.16,3252.67,5,year,0
C0198,13,51.25,616.29,4,year,0
C0199,61,26.71,1845.53,1,year,0
